"";"OBJECTID";"PARCELID";"PRINTKEY";"STREET_NUM";"STREET_NAME";"SITEADDRESS";"CITY";"ZIP5";"CLASSCD";"CLASSDSCRP";"PRPRTYDSCRP";"OWNERNME1";"PSTLADDRESS";"PSTLCITY";"LOT_FRONTAGE";"LOT_DEPTH";"STATEDAREA";"CURRENT_LAND_VALUE";"CURRENT_TOTAL_VALUE";"CURRENT_TAXABLE_VALUE";"TENTATIVE_LAND_VALUE";"TENTATIVE_TOTAL_VALUE";"TENTATIVE_TAXABLE_VALUE";"SALE_DATE";"SALE_PRICE";"BOOK";"PAGE";"DEED_TYPE";"VALID";"RESCOM";"CALCULATEDACRES";"SHAPEACRES";"BISZONING";"Shape.STArea..";"Shape.STLength..";"OWNERSHIPCODE";"LOW_STREET_NUM";"HIGH_STREET_NUM";"lon";"lat";"crime_count"
"3";3;"04721000010070000000";"047.21-1-7";"696";"BEACH AV";"696 BEACH AV";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"KARSHICK FREDERICK/CATHER  ";"700 BEACH AV";"ROCHESTER  NY  14612";"20";"20";"0";"1200";"1200";1200;1200;1200;1200;"11/16/1998";"305000";"09088";"00456";"W";"";"R";0,00918274;0,00918653;"R-1";70,13671875;33,5002204404447;" ";696;696;-77,6200719;43,26619;271
"7";7;"04721000010690000000";"047.21-1-69";"634";"BEACH AV";"634 BEACH AV";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"240";"6";"0.03";"500";"500";500;500;500;500;" ";"0";" ";" ";" ";"";"R";0,03305785;0,03348438;NA;255,6640625;206,327510720936;" ";634;634;-77,619096;43,265019;279
"8";8;"04721000010220000000";"047.21-1-22";"630";"BEACH AV";"630 BEACH AV";"ROCHESTER";"14612";"312";"RES VACANT LAND W/IMPRV";NA;"TOKARZ ALAN R & SUSAN C  ";"626 BEACH AV";"ROCHESTER  NY  14612";"10";"20";"0";"600";"2500";2500;600;2500;2500;"08/04/1987";"1";"07274";"00050";"W";"";"R";0,00459137;0,00459138;"R-1";35,05078125;25,1257483383453;" ";630;630;-77,618675;43,265515;275
"9";9;"04721000010270000000";"047.21-1-27";"618";"BEACH AV";"618 BEACH AV";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"CAHILL BRIDGET  ";"23 BROCKTON ST";"ROCHESTER  NY  14612";"5";"20";"0";"300";"300";300;300;300;300;"03/06/2015";"1";"11526";"00457";"Q";"";"R";0,00229568;0,00229571;"R-1";17,5234375;20,9421034963462;" ";618;618;-77,618448;43,265411;276
"10";10;"04721000010310000000";"047.21-1-31";"608";"BEACH AV";"608 BEACH AV";"ROCHESTER";"14612";"312";"RES VACANT LAND W/IMPRV";NA;"CHAMBERS FREDERICK O/MARY  ";"604 BEACH AV";"ROCHESTER NY  14612";"40";"21";"0";"2400";"7400";7400;2400;7400;7400;"11/25/2009";"400000";"10820";"00014";"W";"";"R";0,01928375;0,01836562;"R-1";140,22265625;50,2274634073829;" ";608;608;-77,618157;43,265272;279
"16";16;"04729000020180000000";"047.29-2-18";"524";"BEACH AV";"524 BEACH AV";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"DAK'S BEACH HOUSE LLC  ";"128 PLACE ONE DRIVE";"ROCHESTER NY  14626";"10";"20";"0";"600";"600";600;600;600;600;"07/28/2016";"1";"11742";"474";"Q";"";"R";0,00459137;0,00493006;"R-1";37,63671875;25,9006206940585;" ";524;524;-77,616517;43,264314;282
"24";24;"04730000010230000000";"047.30-1-23";"394";"BEACH AV";"394 BEACH AV";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"TERRY TRACT CORP  ";"PO BOX 12484";"ROCHESTER NY  14612";"20";"190";"0";"10000";"10000";10000;10000;10000;10000;" ";"0";"02684";"00192";"Q";"";"R";0,087236;0,09105102;"R-1";695,109375;176,241829637919;" ";394;394;-77,613608;43,262125;353
"54";54;"12042000010230000000";"120.42-1-23";"87";"YORK ST";"87 YORK ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"45";"58";"0";"500";"500";500;500;500;500;"11/17/2000";"688766";"09388";"00512";"T";"";"R";0,05991736;0,06064789;"R-1";461,34765625;86,5562795831724;" ";87;87;-77,637755;43,151887;6702
"59";59;"12042000020420010000";"120.42-2-42.001";"12";"KENSINGTON ST";"12 KENSINGTON ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"102.72";"109.75";"0.26";"5000";"5000";5000;5000;5000;5000;"04/26/2011";"1";"10991";"00222";"T";"";"R";0,25880441;0,25814981;"R-2";1963,70703125;177,382678125843;" ";12;12;-77,635979;43,151595;6858
"60";60;"12042000010350000000";"120.42-1-35";"17";"DANFORTH ST";"17 DANFORTH ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"38";"132.44";"0";"2300";"2300";2300;2300;2300;2300;"04/28/2009";"1";"10738";"00677";"T";"";"R";0,11553535;0,11579101;"R-1";880,796875;142,480432552261;" ";17;17;-77,638136;43,151487;6569
"64";64;"12042000020460000000";"120.42-2-46";"17";"KENSINGTON ST";"17 KENSINGTON ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"35";"116.04";"0.09";"1100";"1100";1100;1100;1100;1100;"04/28/2009";"1";"10738";"00677";"T";"";"R";0,09323691;0,09127353;"R-2";694,296875;123,852939168132;" ";17;17;-77,636582;43,151416;6815
"69";69;"12044000020810010000";"120.44-2-81.001";"279";"TROUP ST";"279 TROUP ST";"ROCHESTER";"14608";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"104.12";"54.09";"0";"4000";"4000";4000;4000;4000;4000;"04/26/2011";"1";"10991";"00222";"T";"";"R";0,1292895;0,09502861;"R-2";722,84375;121,432168724833;" ";279;279;-77,6253944;43,1510536;8212
"83";83;"12042000020610000000";"120.42-2-61";"888-892";"W MAIN ST";"888-892 W MAIN ST";"ROCHESTER";"14611";"330";"VACANT COMMERCIAL LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"33.4";"84.25";"0";"9700";"9700";9700;9700;9700;9700;"11/09/2001";"630692";"09539";"00021";"T";"";"C";0,0645994;0,10220958;"C-2";777,46484375;141,937938303273;" ";888;892;-77,636453;43,150479;6723
"91";91;"12044000010720000000";"120.44-1-72";"53-57";"REYNOLDS ST";"53-57 REYNOLDS ST";"ROCHESTER";"14608";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"50";"138";"0";"4500";"4500";4500;4500;4500;4500;"04/26/2011";"1";"10991";"00222";"T";"";"R";0,1584022;0,16180817;"R-2";1230,7890625;158,510895534321;" ";53;57;-77,627004;43,149963;8046
"106";106;"09166000020050000000";"091.66-2-5";"167";"ST STANISLAUS ST";"167 ST STANISLAUS ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"RIVERA WILFREDO  ";"161 ST STANISLAUS ST";"ROCHESTER  NY  14621";"40";"120.13";"0";"4000";"4000";4000;4000;4000;4000;"12/28/2000";"8000";"09405";"00099";"B";"";"R";0,11031221;0,11126401;"R-1";847,30078125;134,386236487628;" ";167;167;-77,59468;43,185924;6864
"107";107;"09261000030100000000";"092.61-3-10";"71";"GRAY ST";"71 GRAY ST";"ROCHESTER";"14609";"311";"RESIDENTIAL VACANT LAND";NA;"GUISTO GERALD R & PATRICK  ";"33 FOURTH AVE";"FAIRPORT NY  14450";"40";"100";"0";"5600";"5600";5600;5600;5600;5600;"07/07/2006";"1";"10327";"00355";"E";"";"R";0,09182736;0,09033367;"R-1";687,90234375;116,624210967901;" ";71;71;-77,573974;43,185757;3344
"109";109;"09167000020590000000";"091.67-2-59";"133";"MITCHELL ST";"133 MITCHELL ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"LAMERE ALFRED J  ";"137 MITCHELL ST";"ROCHESTER NY  14621";"38";"100";"0";"3800";"3800";3800;3800;3800;3800;"05/26/2004";"42500";"09963";"00441";"W";"";"R";0,087236;0,08624379;"R-1";656,765625;114,653455021055;" ";133;133;-77,587953;43,18597;6290
"142";142;"09048000020890000000";"090.48-2-89";"462";"ELECTRIC AV";"462 ELECTRIC AV";"ROCHESTER";"14613";"311";"RESIDENTIAL VACANT LAND";NA;"MCAVANEY JAMES P  ";"615 CLAY AV";"ROCHESTER  NY  14613";"40";"119.5";"0";"5900";"5900";5900;5900;5900;5900;"09/07/2001";"3000";"09511";"00437";"W";"";"R";0,1097337;0,11170045;"R-1";850,7890625;134,66433631564;" ";462;462;-77,647102;43,1911;3714
"236";236;"12059000020230000000";"120.59-2-23";"149";"CADY ST";"149 CADY ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CHURCH OF HIS SAVING GRACE";"118 WICKERS RD";"SCOTTSVILLE  NY  14546";"33";"158";"0";"9000";"15000";15000;6000;6000;6000;"03/23/2011";"1";"10981";"00410";"W";"";"R";0,11969697;0,18179987;"R-1";1382,640625;187,094808743206;" ";149;149;-77,6297079;43,145482;6919
"241";241;"12059000020260000000";"120.59-2-26";"469";"JEFFERSON AV";"469 JEFFERSON AV";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CHURCH OF HIS SAVING GRACE";"118 WICKERS RD";"SCOTTSVILLE  NY  14546";"39";"90";"0";"1000";"1000";1000;1000;1000;1000;"03/23/2011";"1";"10981";"00414";"W";"";"R";0,08057851;0,08119393;"R-1";617,51171875;107,950088504099;" ";469;469;-77,629279;43,145591;6993
"248";248;"12056000020310000000";"120.56-2-31";"49";"SHERWOOD AV";"49 SHERWOOD AV";"ROCHESTER";"14619";"312";"RES VACANT LAND W/IMPRV";NA;"FIRST RESIDENTIAL PROPERT  ";"144 VILLAGE LNDG STE 192";"FAIRPORT NY  14450";"25.07";"114.14";"0";"4000";"6000";6000;4000;6000;6000;"06/25/2013";"34000";"11268";"00486";"W";"";"R";0,06569077;0,06624085;"R-1";503,78125;116,300537944556;" ";49;49;-77,647254;43,14558;4804
"255";255;"12060000020300000000";"120.60-2-30";"162-164";"CHAMPLAIN ST";"162-164 CHAMPLAIN ST";"ROCHESTER";"14608";"311";"RESIDENTIAL VACANT LAND";NA;"MCCLARY JAMES I  ";"105 EDINBURGH ST";"ROCHESTER NY  14608";"33.2";"141";"0";"1500";"1500";1500;1500;1500;1500;"12/19/2012";"1";"11202";"00130";"Q";"";"R";0,10746556;0,10803285;"R-1";821,61328125;145,366839315525;" ";162;164;-77,624474;43,145032;7466
"265";265;"09140000010110000000";"091.40-1-11";"611";"E RIDGE RD";"611 E RIDGE RD";"ROCHESTER";"14621";"330";"VACANT COMMERCIAL LAND";NA;"BENDERSON DEVELOPMENT COR  ";"570 DELAWARE AV";"BUFFALO  NY  14202";"10.84";"3.26";"0";"100";"100";100;100;100;100;"08/02/1983";"0";"06430";"00176";" ";"";"C";0,00081126;0,00050297;"C-3";3,828125;12,2851188988738;" ";611;611;-77,601967;43,194698;5015
"268";268;"09139000010750000000";"091.39-1-75";"60";"RAU ST";"60 RAU ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"GREELEY SCOTT R  ";"56 RAU ST";"ROCHESTER  NY  14621";"38";"101";"0";"5500";"5500";5500;5500;5500;5500;"02/12/2002";"1";"09628";"00356";"Q";"";"R";0,08810836;0,08712881;"R-1";663,6875;116,670034748048;" ";60;60;-77,61062;43,193929;5298
"273";273;"09150000010040000000";"091.50-1-4";"53";"MALONE ST";"53 MALONE ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"QUINTANA SONRIRE  ";"59 MALONE ST";"ROCHESTER NY  14621";"31.08";"89.96";"0";"2200";"2200";2200;2200;2200;2200;"12/02/2013";"65000";"11334";"00461";"W";"";"R";0,06418634;0,06033342;NA;459,546875;97,8003893472327;" ";53;53;-77,594045;43,192251;5406
"284";284;"09149000010670000000";"091.49-1-67";"312";"DUNN ST";"312 DUNN ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"JUZWIAK HELEN L/U &";"28 DAKE AV";"ROCHESTER  NY  14617";"40";"120";"0";"5900";"5900";5900;5900;5900;5900;"05/04/1993";"1";"08334";"00460";"W";"";"R";0,11019284;0,10711788;"R-1";815,87109375;132,578346690648;" ";312;312;-77,598692;43,191289;5817
"339";339;"07582000010120000000";"075.82-1-12";"1945";"DEWEY AV";"1945 DEWEY AV";"ROCHESTER";"14615";"311";"RESIDENTIAL VACANT LAND";NA;"HOUSE OF PRAYER & RESTORA  ";"66 JACKRIST CIR";"ROCHESTER  NY  14606";"145.61";"268.18";"0";"18000";"18000";18000;18000;18000;18000;"10/17/2008";"38900";"10679";"00017";"W";"";"R";0,89645753;0,87532412;"R-1";6669,71875;358,112060666313;" ";1945;1945;-77,639358;43,2035259;1752
"377";377;"06060000020200000000";"060.60-2-20";"3430";"LAKE AV";"3430 LAKE AV";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"LARUFFA ANTHONY  ";"3440 LAKE AV";"ROCHESTER  NY  14612";"50.85";"170.8";"0";"6000";"6000";6000;6000;6000;6000;"01/25/2001";"500";"9415";"359";"W";"";"R";0,1993843;0,19074899;"R-1";1454,8203125;181,05851525163;" ";3430;3430;-77,624818;43,232681;430
"393";393;"06068000010520000000";"060.68-1-52";"61";"WINANS ST";"61 WINANS ST";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"MAGANS MARJORIE J  ";"55 WINANS ST";"ROCHESTER  NY  14612";"50";"115";"0";"6200";"6200";6200;6200;6200;6200;"02/20/1992";"1";"08177";"00148";"Q";"";"R";0,13200184;0,12831168;"R-1";978,53515625;136,390991964172;" ";61;61;-77,628341;43,229829;449
"397";397;"06068000010130030000";"060.68-1-13.003";"34";"DONALD ST";"34 DONALD ST";"ROCHESTER";"14612";"340";"VACANT INDUSTRIAL LAND";NA;"KAT DEVELOPMENT CORPORATI  ";"4699 LAKE AV";"ROCHESTER NY  14612";"65.52";"443.61";"0.51";"1000";"1000";1000;1000;1000;1000;"06/01/1999";"60000";"09168";"00490";"E";"";"C";0,6672481;0,51334536;NA;3914,77734375;418,794010837754;" ";34;34;-77,6264041;43,2284116;415
"400";400;"06169000010050000000";"061.69-1-5";"310";"BOXART ST";"310 BOXART ST";"ROCHESTER";"14612";"340";"VACANT INDUSTRIAL LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"0";"0";"1.43";"21500";"21500";21500;21500;21500;21500;"09/20/1976";"0";"05109";"00218";"W";"";"C";0;1,45217397;NA;11074,06640625;424,549734166755;" ";310;310;-77,618347;43,228538;418
"405";405;"06076000020070000000";"060.76-2-7";"120";"BOXART ST";"120 BOXART ST";"ROCHESTER";"14612";"340";"VACANT INDUSTRIAL LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"165.95";"16.5";"0.04";"750";"750";750;750;750;750;"11/18/2026";"0";"01387";"00569";"W";"";"C";0,06285985;0,04032946;"R-1";307,5390625;153,549488722725;" ";120;120;-77,624619;43,227647;412
"408";408;"06076000020120000000";"060.76-2-12";"52";"BOXART ST";"52 BOXART ST";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"CORNELIA SAMUEL & BARBARA  ";"93 BOXART ST";"ROCHESTER  NY  14612";"10";"263";"0";"2000";"2000";2000;2000;2000;2000;"01/28/1972";"0";"04218";"00225";"Q";"";"R";0,06037649;0,06427956;"R-1";490,16015625;228,108700492605;" ";52;52;-77,625451;43,227212;394
"416";416;"12068000030350000000";"120.68-3-35";"220";"COLUMBIA AV";"220 COLUMBIA AV";"ROCHESTER";"14608";"311";"RESIDENTIAL VACANT LAND";NA;"JIGGETTS VERA MAE  ";"224 COLUMBIA AVE";"ROCHESTER  NY  14608";"35";"54.11";"0";"800";"800";800;800;800;800;"03/26/2007";"1";"10438";"00500";"P";"";"R";0,04347681;0,04210876;"R-1";320,2109375;73,2036843330024;" ";220;220;-77,626471;43,141812;6942
"426";426;"12064000030580000000";"120.64-3-58";"237";"SHERWOOD AV";"237 SHERWOOD AV";"ROCHESTER";"14619";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"40";"112";"0";"7400";"7400";7400;7400;7400;7400;"04/28/2009";"1";"10738";"00677";"T";"";"R";0,10284665;0,10347361;"R-1";786,859375;127,495832970825;" ";237;237;-77,647271;43,141739;4281
"451";451;"12066000020420000000";"120.66-2-42";"446-448";"GENESEE ST";"446-448 GENESEE ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CHAPPELL OTIS  ";"2 SHADYWOOD DR";"ROCHESTER  NY  14606";"43.5";"125";"0";"7500";"7500";7500;7500;7500;7500;"02/06/2012";"1";"11094";"00372";"C";"";"R";0,12482782;0,12341971;"R-2";938,51953125;139,964755336971;" ";446;448;-77,635678;43,141361;5590
"469";469;"09168000040180000000";"091.68-4-18";"129";"NORRAN DR";"129 NORRAN DR";"ROCHESTER";"14609";"311";"RESIDENTIAL VACANT LAND";NA;"SCHROEDER MARK  ";"131 NORRAN DR";"ROCHESTER NY  14609";"40";"86";"0";"5400";"5400";5400;5400;5400;5400;"06/15/2006";"7000";"10311";"00276";"W";"";"R";0,07897153;0,0774978;"R-1";590,1328125;105,479197805357;" ";129;129;-77,578324;43,184799;5962
"532";532;"04778000010350000000";"047.78-1-35";"256";"RIVER ST";"256 RIVER ST";"ROCHESTER";"14612";"312";"RES VACANT LAND W/IMPRV";NA;"OLEK GERARD  ";"267 BEACH AV";"ROCHESTER  NY  14612";"66.1";"111";"0";"8300";"13300";13300;8300;13300;13300;"06/14/1993";"1";"08350";"00318";"Q";"";"R";0,16843664;0,14889076;"R-1";1136,1328125;138,699920198085;" ";256;256;-77,613563;43,247712;509
"537";537;"04778000010720060000";"047.78-1-72.006";"8";"LAKEPORT ST";"8 LAKEPORT ST";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"SEBRING RONALD  ";"7 LAKEPORT ST";"ROCHESTER  NY  14612";"42.33";"8.04";"0";"100";"100";100;100;100;100;"09/11/1992";"1";"08251";"00018";"Q";"";"R";0,00781298;0,00366395;"R-1";27,953125;37,0852983966293;" ";8;8;-77,6144822;43,2456919;557
"540";540;"06028000010400010000";"060.28-1-40.001";"119B";"LEMOYN AV";"119B LEMOYN AV";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"386.21";"173";"1.18";"15000";"15000";15000;15000;15000;15000;" ";"0";"00000";"00000";" ";"";"R";1,53384596;1,20225791;"R-1";9172,9375;465,418000983666;" ";119;119;-77,625862;43,244122;511
"548";548;"06121000010320000000";"061.21-1-32";"30";"ST JOHNS PK";"30 ST JOHNS PK";"ROCHESTER";"14612";"312";"RES VACANT LAND W/IMPRV";NA;"BONALDI CARLA  ";"630 EDGEMERE DR";"ROCHESTER  NY  14612";"40";"120";"0";"5900";"12500";12500;5900;12500;12500;"07/11/2003";"1";"09859";"00695";"Q";"";"R";0,11019284;0,11029589;"R-1";841,51171875;134,142350167007;" ";30;30;-77,617651;43,2433369;655
"565";565;"12026000020120000000";"120.26-2-12";"199-201";"CHILD ST";"199-201 CHILD ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"41";"146.76";"0";"4400";"4400";4400;4400;4400;4400;"11/09/2001";"630692";"09539";"00021";"T";"";"R";0,13813499;0,13712221;"R-2";1043,21484375;156,364233670126;" ";199;201;-77,639265;43,155948;6639
"584";584;"12035000010110000000";"120.35-1-11";"313";"MAPLE ST";"313 MAPLE ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"86";"88.28";"0";"1800";"1800";1800;1800;1800;1800;"11/07/2003";"616203";"09875";"00325";"T";"";"R";0,17429017;0,06992941;"R-2";532,00390625;101,986467528269;" ";313;313;-77,633216;43,155051;7731
"602";602;"12033000020540000000";"120.33-2-54";"144";"SYKE ST";"144 SYKE ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"HYE PROPERTIES LLC  ";"140 SYKE ST";"ROCHESTER NY  14611";"24.11";"132.3";"0";"1500";"1500";1500;1500;1500;1500;"10/08/2009";"225000";"10800";"00398";"W";"";"R";0,07322665;0,07361955;"R-2";560,06640625;131,085082060354;" ";144;144;-77,643004;43,154625;6169
"618";618;"09172000040040000000";"091.72-4-4";"177";"WEAVER ST";"177 WEAVER ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"40";"118.02";"0";"2800";"2800";2800;2800;2800;2800;"04/15/2008";"1";"10604";"00015";"Q";"";"R";0,10837466;0,10736762;"R-1";817,56640625;130,842743518586;" ";177;177;-77,605774;43,183616;8205
"624";624;"09171000030400000000";"091.71-3-40";"155";"WEAVER ST";"155 WEAVER ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"40";"117.6";"0";"2800";"2800";2800;2800;2800;2800;"04/15/2008";"1";"10604";"00015";"Q";"";"R";0,10798898;0,10814438;"R-1";823,48046875;131,880555971186;" ";155;155;-77,606521;43,183589;8242
"634";634;"09173000040140000000";"091.73-4-14";"264-266";"WEYL ST";"264-266 WEYL ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"35";"104.08";"0";"1000";"1000";1000;1000;1000;1000;"04/26/2011";"1";"10991";"00222";"T";"";"R";0,08362718;0,08175891;"R-1";622,55859375;116,331497477445;" ";264;266;-77,60062;43,18349;8246
"692";692;"07621000010530000000";"076.21-1-53";"94";"LAWSON RD";"94 LAWSON RD";"ROCHESTER";"14616";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"45";"116";"0";"2000";"2000";2000;2000;2000;2000;" ";"0";"00000";"00000";" ";"";"R";0,11983471;0,12094662;"R-1";922,16015625;134,639525689702;" ";94;94;-77,621336;43,222892;326
"738";738;"12051000010310010000";"120.51-1-31.001";"25";"HENION ST";"25 HENION ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"79";"100.45";"0.18";"4000";"4000";4000;4000;4000;4000;"05/14/2012";"678681";"11120";"00353";"T";"";"R";0,18217516;0,1830663;"R-2";1392,4453125;150,266695595078;" ";25;25;-77,633908;43,1492423;6913
"753";753;"12048000020450000000";"120.48-2-45";"48";"FILLMORE ST";"48 FILLMORE ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"WILLIAMS JOHN D  ";"44 FILLMORE ST";"ROCHESTER  NY  14611";"40";"128";"0";"6000";"6000";6000;6000;6000;6000;"04/07/2016";"450";"11679";"00455";"Q";"";"R";0,11753903;0,11643232;"R-1";885,60546875;139,634972467773;" ";48;48;-77,649482;43,148864;4832
"793";793;"09163000010010000000";"091.63-1-1";"424";"NORTON ST";"424 NORTON ST";"ROCHESTER";"14621";"340";"VACANT INDUSTRIAL LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"35";"147";"0.12";"12000";"12000";12000;12000;12000;12000;"04/17/1998";"56000";"08995";"00696";"W";"";"C";0,11811295;0,11652996;"NORTON URD";887,4296875;152,768354992636;" ";424;424;-77,612106;43,1867639;7947
"798";798;"08912000010020000000";"089.12-1-2";"1632";"RIDGEWAY AV";"1632 RIDGEWAY AV";"ROCHESTER";"14615";"340";"VACANT INDUSTRIAL LAND";NA;"EASTMAN KODAK COMPANY  ";"343 STATE ST";"ROCHESTER NY  14650";"0";"0";"4.64";"60500";"60500";60500;60500;60500;60500;"07/31/1986";"92675";"06973";"00292";"Q";"";"C";0;4,63692594;NA;35320,41015625;1005,83421463412;" ";1632;1632;-77,676971;43,1930369;230
"857";857;"07565000030190000000";"075.65-3-19";"75";"FILLINGHAM DR";"75 FILLINGHAM DR";"ROCHESTER";"14615";"311";"RESIDENTIAL VACANT LAND";NA;"MCBRIDE ANNA  ";"81 FILLINGHAM DR";"ROCHESTER  NY  14615";"45";"100.5";"0";"7400";"7400";7400;7400;7400;7400;" ";"0";"00000";"00000";" ";"";"R";0,10382231;0,10386441;"R-1";791,5625;121,665502557346;" ";75;75;-77,64096;43,209353;1136
"873";873;"12066000010340000000";"120.66-1-34";"142";"LENOX ST";"142 LENOX ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"40";"120.21";"0";"2300";"2300";2300;2300;2300;2300;"11/09/2001";"630692";"09539";"00021";"T";"";"R";0,11038567;0,10970312;"R-2";834,2734375;133,082410476984;" ";142;142;-77,6371;43,143307;5947
"882";882;"12068000010730000000";"120.68-1-73";"118";"BARTLETT ST";"118 BARTLETT ST";"ROCHESTER";"14608";"311";"RESIDENTIAL VACANT LAND";NA;"SOUTHWEST AREA NEIGHBORHO ASSOCIATION INC";"275 DR SAMUEL MCCREE WAY";"ROCHESTER  NY  14611";"33";"141";"0";"1500";"1500";1500;1500;1500;1500;"12/04/1997";"90666";"8947";"271";"W";"";"R";0,10681818;0,10768886;"R-1";818,94140625;145,671772648838;" ";118;118;-77,6267249;43,14307;6355
"890";890;"12067000020520000000";"120.67-2-52";"65";"ICELAND PK";"65 ICELAND PK";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"36.39";"48.12";"0.04";"2000";"2000";2000;2000;2000;2000;" ";"0";"00000";"00000";" ";"";"R";0,04019942;0,04120297;"R-1";313,33984375;71,6179968110521;" ";65;65;-77,631036;43,143178;6182
"891";891;"12063000030560000000";"120.63-3-56";"59";"CHILI TER";"59 CHILI TER";"ROCHESTER";"14619";"311";"RESIDENTIAL VACANT LAND";NA;"BROGAN TIMOTHY E  ";"1746 DRAKE RD";"BROCKPORT NY  14420";"35";"76.92";"0";"5800";"25000";25000;2900;2900;2900;"03/27/2006";"1";"10275";"0418";"Q";"";"R";0,06180441;0,0616458;"R-1";468,8046875;93,3651514323891;" ";59;59;-77,6531277;43,1433585;3587
