"";"OBJECTID";"PARCELID";"PRINTKEY";"STREET_NUM";"STREET_NAME";"SITEADDRESS";"CITY";"ZIP5";"CLASSCD";"CLASSDSCRP";"PRPRTYDSCRP";"OWNERNME1";"PSTLADDRESS";"PSTLCITY";"LOT_FRONTAGE";"LOT_DEPTH";"STATEDAREA";"CURRENT_LAND_VALUE";"CURRENT_TOTAL_VALUE";"CURRENT_TAXABLE_VALUE";"TENTATIVE_LAND_VALUE";"TENTATIVE_TOTAL_VALUE";"TENTATIVE_TAXABLE_VALUE";"SALE_DATE";"SALE_PRICE";"BOOK";"PAGE";"DEED_TYPE";"VALID";"RESCOM";"CALCULATEDACRES";"SHAPEACRES";"BISZONING";"Shape.STArea..";"Shape.STLength..";"OWNERSHIPCODE";"LOW_STREET_NUM";"HIGH_STREET_NUM";"lon";"lat";"crime_count"
"3575";35357;"10721000020470000000";"107.21-2-47";"58";"SPRINGFIELD AV";"58 SPRINGFIELD AV";"ROCHESTER";"14609";"311";"RESIDENTIAL VACANT LAND";NA;"SPENCER JOHNNY/ROGER/LIND  ";"62 SPRINGFIELD AVE";"ROCHESTER NY  14609";"40";"118";"0";"5900";"5900";5900;5900;5900;5900;"04/24/2006";"70700";"10290";"00246";"W";"";"R";0,10835629;0,1096828;"R-1";835,015625;132,497632479212;" ";58;58;-77,5740129;43,177057;4868
"3623";35362;"10721000010270000000";"107.21-1-27";"1225";"N GOODMAN ST";"1225 N GOODMAN ST";"ROCHESTER";"14609";"312";"RES VACANT LAND W/IMPRV";NA;"HIRSCH NEIL  ";"35 HOOKER ST #5";"ROCHESTER NY  14621";"40";"124.97";"0";"4100";"6000";6000;4100;6000;6000;"02/22/2002";"1";"09582";"00292";"C";"";"R";0,11475666;0,11731258;"R-1";893,1015625;138,653068735308;" ";1225;1225;-77,57604;43,177085;5499
"3886";35388;"10729000010480000000";"107.29-1-48";"1664";"CLIFFORD AV";"1664 CLIFFORD AV";"ROCHESTER";"14609";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"40";"118.16";"0";"4000";"4000";4000;4000;4000;4000;"11/17/2000";"688766";"09388";"00512";"T";"";"R";0,10850321;0,10794301;"R-1";821,7421875;131,693537079304;" ";1664;1664;-77,577216;43,176023;5638
"4517";35451;"09179000030560000000";"091.79-3-56";"602";"AVE D";"602 AVE D";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CHILI PEPPER LLC  ";"59 REQUA ST";"ROCHESTER  NY  14621";"39";"66";"0";"2000";"2000";2000;2000;2000;2000;"04/14/2016";"1";"11682";"00367";"Q";"";"R";0,05909091;0,06122846;"R-1";466,1953125;89,4465997273933;" ";602;602;-77,607376;43,1807575;9336
"4534";35453;"09178000020390000000";"091.78-2-39";"142";"HOLLENBECK ST";"142 HOLLENBECK ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"46.02";"123";"0";"2900";"2900";2900;2900;2900;2900;"08/07/2003";"1";"09827";"00541";"B";"";"R";0,12994628;0,1211962;"R-1";922,79296875;141,265394118349;" ";142;142;-77,615866;43,180856;8103
"4761";35476;"09037000010020020000";"090.37-1-2.002";"1270";"RIDGEWAY AV";"1270 RIDGEWAY AV";"ROCHESTER";"14615";"330";"VACANT COMMERCIAL LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"21.5";"202.65";"0.08";"1000";"1000";1000;1000;1000;1000;" ";"0";" ";" ";" ";"";"C";0,10002238;0,07501813;NA;571,44921875;181,678595663604;" ";1270;1270;-77,665008;43,194299;615
"4792";35479;"09145000010030000000";"091.45-1-3";"1855";"ST PAUL ST";"1855 ST PAUL ST";"ROCHESTER";"14621";"330";"VACANT COMMERCIAL LAND";NA;"STATE OF NEW YORK DOT  ";"1530 JEFFERSON RD";"ROCHESTER  NY  14623";"21";"30";"0.01";"100";"100";100;100;100;100;" ";"0";" ";" ";" ";"";"C";0,01446281;0,01370085;NA;104,34765625;43,3946193933741;" ";1855;1855;-77,6193386;43,1905132;7133
"4804";35480;"09145000010040000000";"091.45-1-4";"1861";"ST PAUL ST";"1861 ST PAUL ST";"ROCHESTER";"14621";"330";"VACANT COMMERCIAL LAND";NA;"STATE OF NEW YORK DOT  ";"1530 JEFFERSON RD";"ROCHESTER  NY  14623";"150";"265";"0.01";"25000";"25000";25000;25000;25000;25000;" ";"0";" ";" ";" ";"";"C";0,91253444;0,35837734;"R-3";2729,625;233,329223853603;" ";1861;1861;-77,618959;43,19136;6882
"4826";35482;"09153000010100000000";"091.53-1-10";"1775";"ST PAUL ST";"1775 ST PAUL ST";"ROCHESTER";"14621";"330";"VACANT COMMERCIAL LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"25";"4";"0";"100";"100";100;100;100;100;" ";"0";" ";" ";" ";"";"C";0,00229568;0,00335472;NA;25,5546875;26,1088098179232;" ";1775;1775;-77,62117;43,188797;6234
"4971";35497;"12178000010260000000";"121.78-1-26";"266";"JOSEPH C WILSON BLVD";"266 JOSEPH C WILSON BLVD";"ROCHESTER";"14620";"311";"RESIDENTIAL VACANT LAND";NA;"UNIVERSITY OF ROCHESTER  ";"ADMINISTRATION BLDG 200";"ROCHESTER  NY  14627";"59.97";"283.45";"0";"17700";"17700";17700;17700;17700;17700;" ";"0";"00000";"00000";" ";"";"R";0,39023178;0,34150307;"R-1";2596,4765625;274,26879347035;" ";266;266;-77,6168445;43,1365282;6222
